title,location,price,bedrooms,bathrooms,toilets,property_type,url
Unfurnished 4 Bedroom Apartment + Bq+pool+gym,"Old Ikoyi, Ikoyi, Lagos","₦35,000,000 per annum",4,4,5,4 bedroom flat / apartment for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/ikoyi/old-ikoyi/3299170-unfurnished-4-bedroom-apartment-bqpoolgym
New 4 Bedroom Terrace House On 3 Floors + Bq +pool,"Off Awolowo Road, Ikoyi, Lagos","₦35,000,000 per annum",4,4,5,4 bedroom terraced duplex for rent,https://nigeriapropertycentre.com/for-rent/houses/terraced-duplexes/lagos/ikoyi/3299315-new-4-bedroom-terrace-house-on-3-floors-bq-pool
Furnished 3 Bedroom Penthouse Apartment + Bq,"Old Ikoyi, Ikoyi, Lagos","₦45,000,000 per annum",3,3,4,3 bedroom flat / apartment for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/ikoyi/old-ikoyi/3300541-furnished-3-bedroom-penthouse-apartment-bq
Luxury 3 Bedrooms Apartment + Bq + Pool + Gym + Tennis,"Ikoyi, Lagos","₦39,005,955 per annum",3,3,4,3 bedroom flat / apartment for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/ikoyi/2106906-luxury-3-bedrooms-apartment-bq-pool-gym-tennis
Luxury 3 Bedrooms Apartment + Bq + Tennis + Gym + Pool X 2 Years,"Banana Island Estate, Ikoyi, Lagos","₦40,000,000 per annum",3,3,4,3 bedroom flat / apartment for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/ikoyi/2150171-luxury-3-bedrooms-apartment-bq-tennis-gym-pool-x-2-years
Premium 3 Bedroom Apartment +bq+pool+tennis X 2yrs,"Old Ikoyi, Ikoyi, Lagos","₦30,000,000 per annum",3,2,3,3 bedroom flat / apartment for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/ikoyi/old-ikoyi/2303947-premium-3-bedroom-apartment-bqpooltennis-x-2yrs
Luxury Semi Detached House,"Estate, Banana Island, Ikoyi, Lagos","₦45,001,500 per annum",4,3,4,4 bedroom semi-detached duplex for rent,https://nigeriapropertycentre.com/for-rent/houses/semi-detached-duplexes/lagos/ikoyi/banana-island/2315833-luxury-semi-detached-house
Luxury 3 Bedroom Apartment +bq+pool+tennis X 2 Years,"Banana Island, Ikoyi, Lagos","₦40,000,000 per annum",3,3,4,3 bedroom flat / apartment for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/ikoyi/banana-island/2386323-luxury-3-bedroom-apartment-bqpooltennis-x-2-years
Premium & Reasonably Priced Furnished 3 Bedroom Apartment,"Parkview, Ikoyi, Lagos","₦35,000,000 per annum",3,3,4,3 bedroom flat / apartment for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/ikoyi/parkview/2397581-premium-reasonably-priced-furnished-3-bedroom-apartment
Luxury 3 Bedroom Maisonette On 2 Floors+bq+pool+gym,"Old Ikoyi Lagos, Old Ikoyi, Ikoyi, Lagos","₦35,555,555 per annum",3,3,4,3 bedroom terraced duplex for rent,https://nigeriapropertycentre.com/for-rent/houses/terraced-duplexes/lagos/ikoyi/old-ikoyi/2457964-luxury-3-bedroom-maisonette-on-2-floorsbqpoolgym
Premium 3 Bedroom Apartment +bq+gym+pool+tennis,"Ikoyi, Lagos","₦35,000,005 per annum",3,3,4,3 bedroom flat / apartment for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/ikoyi/2493623-premium-3-bedroom-apartment-bqgympooltennis
Premium 3 Bedroom Apartment +bq+gym,"Parkview, Ikoyi, Lagos","₦21,000,000 per annum",3,3,4,3 bedroom flat / apartment for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/ikoyi/parkview/2543174-premium-3-bedroom-apartment-bqgym
Luxury 4 Bedroom Apartment +bq+pool+gym+tennis+squash,"Off Banana Island Road, Ikoyi, Lagos","₦40,000,000 per annum",4,4,5,4 bedroom flat / apartment for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/ikoyi/3151943-luxury-4-bedroom-apartment-bqpoolgymtennissquash
Luxury 5 Bedroom Semi Detached House +bq,"Banana Island Estate, Banana Island, Ikoyi, Lagos","₦89,999,900 per annum",5,5,6,5 bedroom semi-detached duplex for rent,https://nigeriapropertycentre.com/for-rent/houses/semi-detached-duplexes/lagos/ikoyi/banana-island/3271155-luxury-5-bedroom-semi-detached-house-bq
1000sqmts Luxury Office Space,"Old Ikoyi, Ikoyi, Lagos","$645 per square meter / per annum 
approx. ₦916,584",0,3,3,Office space for rent,https://nigeriapropertycentre.com/for-rent/commercial/offices/lagos/ikoyi/old-ikoyi/3278620-1000sqmts-luxury-office-space
Luxury 3 Bedroom Terrace House/ Maisonette On 2 Floors+bq+pool+gym,"Old Ikoyi, Ikoyi, Lagos","₦35,000,000 per annum",3,3,4,3 bedroom terraced duplex for rent,https://nigeriapropertycentre.com/for-rent/houses/terraced-duplexes/lagos/ikoyi/old-ikoyi/3280021-luxury-3-bedroom-terrace-house-maisonette-on-2-floorsbqpoolgym
Premium 5 Bedroom Terrace House +bq+squash+gym+tennis Etc,"Old Ikoyi, Ikoyi, Lagos","₦40,000,000 per annum",5,5,5,5 bedroom terraced duplex for rent,https://nigeriapropertycentre.com/for-rent/houses/terraced-duplexes/lagos/ikoyi/old-ikoyi/3289057-premium-5-bedroom-terrace-house-bqsquashgymtennis-etc
Top Executive 4 Bedroom Apartment + Bq+ Pool Tennis,"Old Ikoyi, Ikoyi, Lagos","₦53,500,000 per annum",4,4,5,4 bedroom flat / apartment for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/ikoyi/3304464-top-executive-4-bedroom-apartment-bq-pool-tennis
Luxury 3 Bedroom Apartment +bq+pool+gym,"Old Ikoyi, Ikoyi, Lagos","₦29,999,999 per annum",3,3,4,3 bedroom flat / apartment for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/ikoyi/old-ikoyi/3290018-luxury-3-bedroom-apartment-bqpoolgym
Premium 4 Bedroom Apartment + Bq+pool,"Old Ikoyi, Ikoyi, Lagos","₦35,000,000 per annum",4,4,5,4 bedroom flat / apartment for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/ikoyi/old-ikoyi/3290045-premium-4-bedroom-apartment-bqpool
New Furnished 3 Bedroom Apartment + Bq,"2nd Avenue Estate Ikoyi, Ikoyi, Lagos","₦55,000,000 per annum",3,3,4,3 bedroom flat / apartment for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/ikoyi/3290883-new-furnished-3-bedroom-apartment-bq
New 4 Bedroom Apartment (no Bq) + Pool+ Elevator,"Off Banana Island Road, Ikoyi, Lagos","₦44,900,000 per annum",4,4,5,4 bedroom flat / apartment for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/ikoyi/3291846-new-4-bedroom-apartment-no-bq-pool-elevator
Premium 3 Bedroom Apartment + Bq + Pool+ Gym+ Tennis Court Etc,"Old Ikoyi, Ikoyi, Lagos","₦34,900,999 per annum",3,3,4,3 bedroom flat / apartment for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/ikoyi/old-ikoyi/3292444-premium-3-bedroom-apartment-bq-pool-gym-tennis-court-etc
Luxury 5 Bedroom Semi Detached Terrace Styled House + Bq + Rooftop,"Banana Island, Ikoyi, Lagos","₦90,000,050 per annum",5,5,6,5 bedroom terraced duplex for rent,https://nigeriapropertycentre.com/for-rent/houses/terraced-duplexes/lagos/ikoyi/banana-island/3293179-luxury-5-bedroom-semi-detached-terrace-styled-house-bq-rooftop
Newly Renovated 4 Bedroom Terrace Duplex Without A Bq,"Alagbon Close, Ikoyi, Lagos","₦25,000,000 per annum",4,4,5,4 bedroom terraced duplex for rent,https://nigeriapropertycentre.com/for-rent/houses/terraced-duplexes/lagos/ikoyi/2980378-newly-renovated-4-bedroom-terrace-duplex-without-a-bq
Newly Built 4 Bedroom Maisonette,"Old Ikoyi, Ikoyi, Lagos","₦50,000,000 per annum",4,4,5,4 bedroom flat / apartment for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/ikoyi/3308704-newly-built-4-bedroom-maisonette
"Brand New And Fully Serviced 4 Bedroom Terrace Duplex With Bq, Old Iko","Old Ikoyi, Old Ikoyi, Ikoyi, Lagos","₦50,000,000 per annum",4,4,5,4 bedroom terraced duplex for rent,https://nigeriapropertycentre.com/for-rent/houses/terraced-duplexes/lagos/ikoyi/old-ikoyi/3308687-brand-new-and-fully-serviced-4-bedroom-terrace-duplex-with-bq-old-iko
Premium 3 Bedroom Apartment +bq+pool+gym,"Banana Island Estate Ikoyi, Banana Island, Ikoyi, Lagos","₦40,000,000 per annum",3,3,4,3 bedroom flat / apartment for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/ikoyi/banana-island/3308684-premium-3-bedroom-apartment-bqpoolgym
Partially Furnished And Serviced 2 Bedroom Flat With Swimming Pool,"In Parkview Estate, Ikoyi., Parkview, Ikoyi, Lagos","₦15,000,000 per annum",2,3,3,2 bedroom flat / apartment for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/ikoyi/parkview/3308682-partially-furnished-and-serviced-2-bedroom-flat-with-swimming-pool
Newly Built 2 Bedroom Apartment,"Dolphin Estate, Ikoyi, Lagos","₦6,500,000 per annum",2,2,2,2 bedroom flat / apartment for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/ikoyi/3281502-newly-built-2-bedroom-apartment
150 Sqm Open Plan Office Space,"Awolowo Road, Ikoyi, Lagos","₦22,000,000 per annum",0,0,2,Office space for rent,https://nigeriapropertycentre.com/for-rent/commercial/offices/lagos/ikoyi/3300608-150-sqm-open-plan-office-space
Exquisite 3 Bedroom Apartment With A Room Bq With Excellent Facilities,"Bella Vista Apartment, Banana Island, Ikoyi, Lagos","₦50,000,000 per annum",3,3,4,3 bedroom flat / apartment for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/ikoyi/banana-island/3296617-exquisite-3-bedroom-apartment-with-a-room-bq-with-excellent-facilities
2 Bedroom Apartment -- Fully Furnished & Fully Serviced,"Old Ikoyi, Ikoyi, Lagos","₦16,500,000 per annum",2,2,3,2 bedroom flat / apartment for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/ikoyi/old-ikoyi/3308503-2-bedroom-apartment-fully-furnished-fully-serviced
An Exceptional 5-bedroom Terrace With Elevator & Lifestyle Amenities,"Banana Island, Ikoyi, Lagos","$100,000 per annum 
approx. ₦142,106,038",5,6,6,5 bedroom terraced duplex for rent,https://nigeriapropertycentre.com/for-rent/houses/terraced-duplexes/lagos/ikoyi/banana-island/3308386-an-exceptional-5-bedroom-terrace-with-elevator-lifestyle-amenities
Newly Built 3-bedroom Maisonette With Elevator Access,"Ikoyi, Lagos","₦20,000,000",3,3,3,3 bedroom flat / apartment for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/ikoyi/3308472-newly-built-3-bedroom-maisonette-with-elevator-access
"Luxury, Spacious And Elegant Penthouse With Amazing Facilities","Ikoyi, Lagos","₦40,000,000 per annum",3,3,4,3 bedroom house for rent,https://nigeriapropertycentre.com/for-rent/houses/lagos/ikoyi/3307976-luxury-spacious-and-elegant-penthouse-with-amazing-facilities
"Fully Furnished 4-bedroom Maisonette With Bq, Gym & Swimming Pool","Old Ikoyi, Ikoyi, Lagos","₦60,000,000 per annum",4,4,5,4 bedroom flat / apartment for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/ikoyi/old-ikoyi/3308429-fully-furnished-4-bedroom-maisonette-with-bq-gym-swimming-pool
"Luxury 4-bedroom Maisonette With A Room Bq, Swimming Pool, And Gym","Old Ikoyi, Ikoyi, Lagos","₦80,000,000 per annum",4,4,5,4 bedroom flat / apartment for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/ikoyi/old-ikoyi/3308359-luxury-4-bedroom-maisonette-with-a-room-bq-swimming-pool-and-gym
3-bedroom Apartment,"Ikoyi, Lagos","₦30,000,000 per annum",3,3,3,3 bedroom flat / apartment for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/ikoyi/3249915-3-bedroom-apartment
An Exclusive Serviced 3 Bedroom Apartment,"Old Ikoyi, Ikoyi, Lagos","₦45,000,000 per annum",3,3,4,3 bedroom flat / apartment for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/ikoyi/old-ikoyi/3304078-an-exclusive-serviced-3-bedroom-apartment
Lovely Well Maintained Fully Serviced 2 Bedroom Apartment,"Ikoyi Road, Ikoyi, Lagos","₦17,000,000 per annum",2,2,3,2 bedroom flat / apartment for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/ikoyi/3308205-lovely-well-maintained-fully-serviced-2-bedroom-apartment
Nicely Finished 4 Bedroom Flat With A Room Bq,"Off Alfred Rewane, Ikoyi, Lagos","₦40,000,000 per annum",4,4,5,4 bedroom flat / apartment for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/ikoyi/3306275-nicely-finished-4-bedroom-flat-with-a-room-bq
Spacious 4 Bedroom Terrace With A Room Bq,"Macdonald Road, Ikoyi, Lagos","₦50,000,000 per annum",4,4,5,4 bedroom flat / apartment for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/ikoyi/3306363-spacious-4-bedroom-terrace-with-a-room-bq
Newly Renovated 4 Bedroom Terrace Without Bq,"Alagbon Close, Ikoyi, Lagos","₦25,000,000 per annum",4,4,5,4 bedroom terraced duplex for rent,https://nigeriapropertycentre.com/for-rent/houses/terraced-duplexes/lagos/ikoyi/2848917-newly-renovated-4-bedroom-terrace-without-bq
Minimalist Luxury 2 Bedroom Apartment,"Oba Adeyinka, Off Alfred Riwane, Ikoyi, Lagos","₦50,000,000 per annum",2,2,3,2 bedroom flat / apartment for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/ikoyi/3198795-minimalist-luxury-2-bedroom-apartment
Beautifully Finished Wide 3 Bedroom Flat,"Parkview, Ikoyi, Lagos","₦25,000,000 per annum",3,3,4,3 bedroom flat / apartment for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/ikoyi/parkview/3300286-beautifully-finished-wide-3-bedroom-flat
3 Bedroom Penthouse,"Ikoyi, Lagos","₦40,000,000 per annum",3,0,0,3 bedroom flat / apartment for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/ikoyi/3308083-3-bedroom-penthouse
Luxury 4 Bedroom Duplex With 2 Bq Fully Equipped,"Off Norma Willam, Old Ikoyi, Ikoyi, Lagos","₦53,000,000 per annum",4,6,6,4 bedroom detached duplex for rent,https://nigeriapropertycentre.com/for-rent/houses/detached-duplexes/lagos/ikoyi/old-ikoyi/3241313-luxury-4-bedroom-duplex-with-2-bq-fully-equipped
Newly Built 2 Bedroom Flat With Inverters,"Ikoyi, Lagos","₦8,000,000 per annum",2,2,3,2 bedroom flat / apartment for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/ikoyi/3307967-newly-built-2-bedroom-flat-with-inverters
2-bedroom Penthouse Apartment,"Ikoyi, Lagos","₦12,000,000 per annum",2,2,3,2 bedroom flat / apartment for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/ikoyi/3299931-2-bedroom-penthouse-apartment
3-bedroom Serviced Apartment,"Ikoyi, Lagos","₦35,000,000 per annum",3,3,4,3 bedroom flat / apartment for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/ikoyi/3300019-3-bedroom-serviced-apartment
4-bedroom Waterfront Townhouse With Bq,"Parkview, Ikoyi, Lagos","₦30,000,000 per annum",4,4,5,4 bedroom house for rent,https://nigeriapropertycentre.com/for-rent/houses/lagos/ikoyi/parkview/3300033-4-bedroom-waterfront-townhouse-with-bq
4-bedroom Terrace House,"Parkview, Ikoyi, Lagos","₦40,000,000 per annum",4,4,5,4 bedroom house for rent,https://nigeriapropertycentre.com/for-rent/houses/lagos/ikoyi/parkview/3300043-4-bedroom-terrace-house
3-bedroom Apartment With Bq,"Old Ikoyi, Ikoyi, Lagos","₦35,000,000 per annum",3,3,4,3 bedroom flat / apartment for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/ikoyi/old-ikoyi/3300049-3-bedroom-apartment-with-bq
4-bedroom Apartment,"Ikoyi, Lagos","$70,000 per annum 
approx. ₦99,474,226",4,4,5,4 bedroom flat / apartment for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/ikoyi/3302555-4-bedroom-apartment
5-bedroom Semi-detached Duplex,"Banana Island, Ikoyi, Lagos","₦100,000,000 per annum",5,5,6,5 bedroom semi-detached duplex for rent,https://nigeriapropertycentre.com/for-rent/houses/semi-detached-duplexes/lagos/ikoyi/banana-island/3303640-5-bedroom-semi-detached-duplex
1-bedroom Apartment,"Old Ikoyi, Ikoyi, Lagos","₦10,000,000 per annum",1,1,2,1 bedroom flat / apartment for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/ikoyi/old-ikoyi/3304432-1-bedroom-apartment
Multi-unit Residential Property,"Old Ikoyi, Ikoyi, Lagos","₦200,000,000 per annum",2,2,3,2 bedroom flat / apartment for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/ikoyi/old-ikoyi/3304473-multi-unit-residential-property
4-bedroom Semi-detached House,"Ikoyi, Lagos","₦70,000,000 per annum",4,4,5,4 bedroom house for rent,https://nigeriapropertycentre.com/for-rent/houses/lagos/ikoyi/3304549-4-bedroom-semi-detached-house
Fully Serviced 3-bedroom Apartment With Study & Maid's Room,"Old Ikoyi, Ikoyi, Lagos","₦40,000,000 per annum",3,3,4,3 bedroom flat / apartment for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/ikoyi/old-ikoyi/3303163-fully-serviced-3-bedroom-apartment-with-study-maids-room
3-bedroom En-suite Penthouse,"Ikoyi, Lagos","₦70,000,000 per annum",3,3,4,3 bedroom flat / apartment for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/ikoyi/3305623-3-bedroom-en-suite-penthouse
4-bed Semi-detached Duplex With Bq --ikoyi,"Ikoyi, Lagos","₦50,000,000 per annum",4,4,5,4 bedroom semi-detached duplex for rent,https://nigeriapropertycentre.com/for-rent/houses/semi-detached-duplexes/lagos/ikoyi/3305864-4-bed-semi-detached-duplex-with-bq-ikoyi
3-bedroom Apartment,"Ikoyi, Lagos","$75,000 per annum 
approx. ₦106,579,528",3,3,4,3 bedroom flat / apartment for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/ikoyi/3305657-3-bedroom-apartment
3-bedroom Apartment,"Banana Island, Ikoyi, Lagos","₦50,000,000 per annum",3,3,4,3 bedroom flat / apartment for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/ikoyi/banana-island/3306188-3-bedroom-apartment
4-bedroom Waterfront Terraced Duplex,"Parkview, Ikoyi, Lagos","₦85,000,000",4,4,5,4 bedroom house for rent,https://nigeriapropertycentre.com/for-rent/houses/lagos/ikoyi/parkview/3306220-4-bedroom-waterfront-terraced-duplex
5 Bedroom Fully Detached,"Banana Island, Ikoyi, Lagos","₦100,000,000 per annum",5,5,6,5 bedroom detached duplex for rent,https://nigeriapropertycentre.com/for-rent/houses/detached-duplexes/lagos/ikoyi/banana-island/3307915-5-bedroom-fully-detached
Newly Built Four Bedroom Fully Detached Duplex,"Banana Island, Ikoyi, Lagos","₦2,000,000,000 per annum",4,4,5,4 bedroom detached duplex for rent,https://nigeriapropertycentre.com/for-rent/houses/detached-duplexes/lagos/ikoyi/banana-island/3293783-newly-built-four-bedroom-fully-detached-duplex
Luxury 3-bedroom Apartment With Bq,"Gerrard Road, Ikoyi, Lagos","₦35,000,000 per annum",3,3,4,3 bedroom flat / apartment for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/ikoyi/3307827-luxury-3-bedroom-apartment-with-bq
